name,type,region,lat,lng,address,tel,email,web,contact1_name,contact1_role,contact1_email
Zip-Clip Ltd (HQ),office,Mid Wales — Manufacturer and Head Office,52.5166,-3.3786,"Llandrindod Wells, Powys, Wales",01686623366,info@zip-clip.com,https://zip-clip.com,Sales Team,General Enquiries,sales@zip-clip.com
BIM SS,distributor,OTHER — New Zealand,-43.53203,172.63665,"Christchurch, New Zealand",64272098118,tgair@bimss.co.nz,,Thomas Gair,Contact,
IES Technologies,distributor,OTHER — New Zealand,-43.37878,172.66231,"Kaiapoi, New Zealand",64800140040,,,,Contact,
Cabinets by Computer,distributor,OTHER — Australia,-37.81363,144.96306,"Melbourne, Australia",61352543274,,,,Contact,
NGV,distributor,OTHER — Australia,-37.81363,144.96306,"Melbourne, Australia",,,,,Contact,
Drillcut,distributor,OTHER — Australia,-37.68588,144.92467,"Broadmeadows, Australia",612000000000,,,,Contact,
Brian Perry Civil,distributor,OTHER — New Zealand,-36.85088,174.76449,"Auckland, New Zealand",6495263500,,,,Contact,
Lims,distributor,OTHER — New Zealand,-36.85088,174.76449,"Auckland NZ, New Zealand",64095713229,lucas@lims-hvac.co.nz,,Lucas James,Contact,
Steel and Tube,distributor,OTHER — New Zealand,-36.85088,174.76449,"Auckland, New Zealand",6445705000,michael.palmer@steelandtube.co.nz,,Michael Palmer,Nicolette Conradie,N.Conradie@Zip-Clip.com
Tracklok,distributor,OTHER — New Zealand,-36.85088,174.76449,"Auckland, New Zealand",64211529136,scott@tracklok.com,,Scott Simpson,Contact,
Jaymel,distributor,OTHER — Australia,-34.84856,138.6714,"Holden Hill, Australia",61885489405,,,,Contact,
AGL,distributor,OTHER — Australia,-34.17107,150.61031,"Macarthur, Australia",,,,,Contact,
Cabstrut,distributor,FIXINGS — George — South Africa,-33.97316,22.46743,"W.J. Agencies: Unit 1, 72 Laing St., George Industria, George, South Africa",044-874-1102,george@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
Cabstrut,distributor,FIXINGS — Cape Town — South Africa,-33.92584,18.42322,South Africa,021-530-3560,capetown@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
Cabstrut,distributor,FIXINGS — Port Elizabeth — South Africa,-33.92551,25.57281,South Africa,041-451-2011,portelizabeth@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
Financial Advice Association Australia,distributor,OTHER — Australia,-33.86225,151.20768,"Sydney, Australia",611000000000,,,,Contact,
Mathspace,distributor,OTHER — Australia,-33.86225,151.20768,"Sydney, Australia",,,,,Contact,
Cabstrut,distributor,FIXINGS — East London — South Africa,-33.00835,27.9045,South Africa,043-722-6272,eastlondon@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
TES Electrical,distributor,ELECTRICAL — Australia,-32.12135,115.84844,"Cockburn Central, Australia",61401908545,sales@tes-electric.co.uk,,Mike Penny,Contact,
Central Wire Industries,distributor,ELECTRICAL — Canada,-31.9514,115.86168,"Perth, Canada",,jeffrey.keating@centralwire.com,,Jeff Keating,Contact,
Cabstrut,distributor,FIXINGS — Durban — South Africa,-29.8579,31.0292,South Africa,031-573-9400,durban@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
Cabstrut,distributor,FIXINGS — Johannesburg — South Africa,-26.24959,28.13868,South Africa,011-622-8633,joburg@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
Cabstrut,distributor,FIXINGS — Pretoria — South Africa,-25.74486,28.18783,South Africa,012-329-6882,pretoria@cabstrut.co.za,,,Nicolette Conradie,N.Conradie@Zip-Clip.com
NCM Distributors (North) Ltd,distributor,OTHER,-17.67417,141.07404,Normanton,442000000000,amy@ncmdistributors.com,,Amy Weeks,Contact,
Ethiopian Airlines,distributor,OTHER — Ethiopia,9.01919,38.75246,"Addis Ababa, Ethiopia",,betelhemtl@ethiopianairlines.com,,Betelhemt Tilahun,Contact,
The University of Queensland,distributor,OTHER — Australia,13.90944,-60.97889,"Saint Lucia, Australia",,,,,Contact,
KK Fasteners,distributor,FIXINGS — India,18.95823,72.83195,"Mumbai India, India",912000000000,,,,Contact,
Climate Control Middle East,distributor,HVAC — United Arab Emirates,25.20485,55.27078,"Dubai, United Arab Emirates",972000000000,,,,Contact,
Welcome to AAES,distributor,OTHER — Qatar,25.28622,51.4204,"Ar Rayyan, Qatar",,,,,Contact,
Motovated,distributor,OTHER — New Zealand,27.99036,-82.30177,"Hillsborough, New Zealand",,alasdair.soja@motovated.co.nz,,Alasdair Soja,Contact,
Kilo-Newton,distributor,OTHER — Israel,31.04605,34.85161,"Israel, Israel",973000000000,nir@kilo-newton.com,,Nir,Contact,
Lightoscope,distributor,OTHER — Israel,31.04605,34.85161,"Israel, Israel",97299550799,benny@lightoscope.net,,Benny Riahi,Contact,
KLM China,distributor,OTHER — China,31.65381,120.75224,"Changshu city, China",8650000000000,,,,Contact,
FN hotelaria,distributor,OTHER — Portugal,32.66076,-16.98675,"Camara de Lobos, Portugal",351000000000,filipefaria@fn-hotelaria.pt,,Filipe Faria,Contact,
Prolux Solutions,distributor,OTHER — Czech Republic,32.74596,-96.99778,"Grand Prairie, Czech Republic",41714474848,markus.huber@prolux-solutions.com,,Markus Huber,Contact,
Victoria Tents,distributor,OTHER — Cyprus,34.67863,33.04131,"Limassol, Cyprus",35725661617,gmproduction@victoriatents.com,,Martinos Babas,Contact,
ISF IKE,distributor,OTHER — Greece,37.98381,23.72754,"Athens Greece, Greece",302000000000,account@isf-ike.gr,,,Contact,
Pemsa,distributor,OTHER — Spain,40.41673,-3.70329,"Madrid Spain, Spain",34918023488,alec.webster@pemsa.co.uk,,Alec Webster,Contact,
Basor,distributor,OTHER — Spain,40.46367,-3.74922,"Spain, Spain",34962876695,info@basor.com,,Nuno Brito,Contact,
Casasan,distributor,OTHER — Spain,40.46367,-3.74922,"Spain, Spain",34948234686,info@casasan.es,,Fabian Sanchez,Contact,
Ventair Distribution,distributor,OTHER — Spain,40.46367,-3.74922,"Spain, Spain",34986280312,,,,Contact,
Climatech International SA,distributor,HVAC — United States,40.71278,-74.00597,"New York, United States",,annesophie.gohy@climatech.be,,,Contact,
Warner Bros. Discovery,distributor,OTHER — United States,40.71278,-74.00597,"New York, United States",12125485555,,,,Contact,
